#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
5159241|2015-09-18 08:18:17|-32.2292|-72.3678|6.0|us|NEIC PDE|us|us20003l55|mww|5.6|us|OFF COAST OF CENTRAL CHILE
5159346|2015-09-19 13:08:57|-30.5256|-72.1984|10.0||NEIC PDE|us|us20003lv1|mww|5.6|us|OFF COAST OF CENTRAL CHILE
8500485|2015-09-19 13:08:57|-30.5300|-72.2000|10.0|gcmt|NEIC PDE||us20150919130857|mwc|5.6|gcmt|OFF COAST OF CENTRAL CHILE
5159556|2015-09-21 19:56:08|-31.7819|-71.6407|28.4|us|NEIC PDE|us|us20003mjn|mww|5.6|us|NEAR COAST OF CENTRAL CHILE
5161716|2015-10-12 03:15:19|-31.1849|-71.8227|21.0||NEIC PDE|us|us10003mxa|mww|5.6|us|NEAR COAST OF CENTRAL CHILE
5166505|2015-11-28 05:44:40|-30.3688|-72.1510|10.0|us|NEIC PDE|us|us100041ui|mww|5.6|us|OFF COAST OF CENTRAL CHILE
5167526|2015-12-08 12:56:07|-30.8096|-71.7519|25.0|us|NEIC PDE|us|us1000454p|mww|5.6|us|NEAR COAST OF CENTRAL CHILE
10091782|2017-04-23 19:40:10|-33.0089|-72.1138|20.0|us|NEIC PDE|us|us10008k2i|Mww|5.6|us|OFF COAST OF CENTRAL CHILE
10724459|2018-04-05 11:12:10|-20.3819|-70.6056|34.9|us|NEIC PDE|us|us2000dux6|Mww|5.6|us|NEAR COAST OF NORTHERN CHILE
11000968|2019-01-30 07:44:45|-25.8985|-70.6676|51.0|us|NEIC PDE|us|us1000iryd|Mww|5.6|us|NEAR COAST OF NORTHERN CHILE
11023235|2019-04-07 10:52:41|-33.7588|-72.5153|10.0|us|NEIC PDE|us|us2000kbs5|Mww|5.6|us|OFF COAST OF CENTRAL CHILE
11027159|2019-04-18 04:06:34|-29.3648|-71.5891|54.0|us|NEIC PDE|us|us700038b8|Mww|5.6|us|NEAR COAST OF CENTRAL CHILE
4597430|2014-04-03 02:56:04|-20.7144|-70.5845|4.0|ISC|ISC|ISC|604399522|mb|5.5|NEIC|NEAR COAST OF NORTHERN CHILE
4597445|2014-04-03 05:51:43|-20.7401|-70.4115|21.3|ISC|ISC|ISC|609948332|mb|5.5|NEIC|NEAR COAST OF NORTHERN CHILE
4638994|2014-05-17 09:11:06|-19.9437|-70.8292|10.8|ISC|ISC|ISC|604633730|MW|5.5|GCMT|NEAR COAST OF NORTHERN CHILE
4717512|2014-06-20 19:53:32|-19.7514|-70.9218|19.4|ISC|ISC|ISC|604753709|MW|5.5|GCMT|NEAR COAST OF NORTHERN CHILE
5155242|2015-08-12 00:14:39|-31.7023|-71.5391|30.4|ISC|ISC|ISC|607649017|MW|5.5|GCMT|NEAR COAST OF CENTRAL CHILE
5161453|2015-09-16 23:28:23|-30.7179|-71.8037|20.7|us|NEIC PDE|us|us10003it9|mb|5.5|us|NEAR COAST OF CENTRAL CHILE
5159051|2015-09-17 02:59:29|-30.9669|-71.5398|35.0|guc|NEIC PDE|us|us20003ke3|mwr|5.5|guc|NEAR COAST OF CENTRAL CHILE
5159065|2015-09-17 04:26:38|-31.4167|-71.9800|17.6|us|NEIC PDE|us|us20003kgi|mwr|5.5|us|NEAR COAST OF CENTRAL CHILE
5159080|2015-09-17 05:44:39|-31.8011|-72.1309|10.0|us|NEIC PDE|us|us20003khn|mwr|5.5|us|OFF COAST OF CENTRAL CHILE
5159154|2015-09-17 20:40:31|-29.9614|-71.8851|5.7|guc|NEIC PDE|us|us20003kwk|mwr|5.5|guc|NEAR COAST OF CENTRAL CHILE
8498748|2015-09-18 08:18:17|-32.2300|-72.3700|6.0|gcmt|NEIC PDE||us20150918081817|mwc|5.5|gcmt|OFF COAST OF CENTRAL CHILE
5159549|2015-09-21 18:36:53|-31.0458|-71.8200|27.0|us|NEIC PDE|us|us20003mis|mww|5.5|us|NEAR COAST OF CENTRAL CHILE
