Start,End
2017-12-11 02:27:00.730124,2017-12-11 02:28:00.730124
2017-12-11 02:28:00.730124,2017-12-11 02:29:00.730124
2017-12-11 02:29:00.730124,2017-12-11 02:30:00.730124
2017-12-11 02:30:00.730124,2017-12-11 02:31:00.730124
2017-12-11 02:31:00.730124,2017-12-11 02:32:00.730124
2017-12-11 02:32:00.730124,2017-12-11 02:33:00.730124
2017-12-11 02:33:00.730124,2017-12-11 02:34:00.730124
2017-12-11 02:34:00.730124,2017-12-11 02:35:00.730124
2017-12-11 02:35:00.730124,2017-12-11 02:36:00.730124
2017-12-11 02:36:00.730124,2017-12-11 02:37:00.730124
2017-12-11 02:37:00.730124,2017-12-11 02:38:00.730124
2017-12-11 02:38:00.730124,2017-12-11 02:39:00.730124
2017-12-11 02:39:00.730124,2017-12-11 02:40:00.730124
2017-12-11 02:40:00.730124,2017-12-11 02:41:00.730124
2017-12-11 02:41:00.730124,2017-12-11 02:42:00.730124
2017-12-11 02:42:00.730124,2017-12-11 02:43:00.730124
2017-12-11 02:43:00.730124,2017-12-11 02:44:00.730124
2017-12-11 02:44:00.730124,2017-12-11 02:45:00.730124
2017-12-11 02:45:00.730124,2017-12-11 02:46:00.730124
2017-12-11 02:46:00.730124,2017-12-11 02:47:00.730124
2017-12-11 02:49:24.301265,2017-12-11 02:50:24.301265
2017-12-11 02:50:24.301265,2017-12-11 02:51:24.301265
2017-12-11 02:51:24.301265,2017-12-11 02:52:24.301265
2017-12-11 02:52:24.301265,2017-12-11 02:53:24.301265
2017-12-11 02:53:24.301265,2017-12-11 02:54:24.301265
2017-12-11 02:54:24.301265,2017-12-11 02:55:24.301265
2017-12-11 02:55:24.301265,2017-12-11 02:56:24.301265
2017-12-11 02:56:24.301265,2017-12-11 02:57:24.301265
2017-12-11 02:57:24.301265,2017-12-11 02:58:24.301265
2017-12-11 02:58:24.301265,2017-12-11 02:59:24.301265
2017-12-11 02:59:24.301265,2017-12-11 03:00:24.301265
2017-12-11 03:00:24.301265,2017-12-11 03:01:24.301265
2017-12-11 03:01:24.301265,2017-12-11 03:02:24.301265
2017-12-11 03:02:24.301265,2017-12-11 03:03:24.301265
2017-12-11 03:03:24.301265,2017-12-11 03:04:24.301265
2017-12-11 03:04:24.301265,2017-12-11 03:05:24.301265
2017-12-11 03:05:24.301265,2017-12-11 03:06:24.301265
2017-12-11 03:06:24.301265,2017-12-11 03:07:24.301265
2017-12-11 03:07:24.301265,2017-12-11 03:08:24.301265
2017-12-11 03:08:24.301265,2017-12-11 03:09:24.301265
2017-12-11 03:09:24.301265,2017-12-11 03:10:24.301265
2017-12-11 03:10:24.301265,2017-12-11 03:11:24.301265
2017-12-11 03:11:24.301265,2017-12-11 03:12:24.301265
2017-12-11 03:12:24.301265,2017-12-11 03:13:24.301265
2017-12-11 03:13:24.301265,2017-12-11 03:14:24.301265
2017-12-11 03:14:24.301265,2017-12-11 03:15:24.301265
2017-12-11 03:15:24.301265,2017-12-11 03:16:24.301265
2017-12-11 03:16:24.301265,2017-12-11 03:17:24.301265
2017-12-11 03:17:24.301265,2017-12-11 03:18:24.301265
2017-12-11 03:18:24.301265,2017-12-11 03:19:24.301265
2017-12-11 03:19:24.301265,2017-12-11 03:20:24.301265
2017-12-11 03:20:24.301265,2017-12-11 03:21:24.301265
2017-12-11 03:21:24.301265,2017-12-11 03:22:24.301265
2017-12-11 03:22:24.301265,2017-12-11 03:23:24.301265
2017-12-11 03:23:24.301265,2017-12-11 03:24:24.301265
2017-12-11 03:24:24.301265,2017-12-11 03:25:24.301265
2017-12-11 03:25:24.301265,2017-12-11 03:26:24.301265
2017-12-11 03:26:24.301265,2017-12-11 03:27:24.301265
2017-12-11 03:27:24.301265,2017-12-11 03:28:24.301265
2017-12-11 03:28:24.301265,2017-12-11 03:29:24.301265
2017-12-11 03:29:24.301265,2017-12-11 03:30:24.301265
2017-12-11 03:30:24.301265,2017-12-11 03:31:24.301265
2017-12-11 03:31:24.301265,2017-12-11 03:32:24.301265
2017-12-11 03:32:24.301265,2017-12-11 03:33:24.301265
2017-12-11 03:33:24.301265,2017-12-11 03:34:24.301265
2017-12-11 03:34:24.301265,2017-12-11 03:35:24.301265
2017-12-11 03:35:24.301265,2017-12-11 03:36:24.301265
2017-12-11 03:36:24.301265,2017-12-11 03:37:24.301265
2017-12-11 03:37:24.301265,2017-12-11 03:38:24.301265
2017-12-11 03:41:15.674354,2017-12-11 03:42:15.674354
2017-12-11 03:42:15.674354,2017-12-11 03:43:15.674354
