Start,End
2017-12-11 03:43:09.760864,2017-12-11 03:44:09.760864
2017-12-11 03:44:09.760864,2017-12-11 03:45:09.760864
2017-12-11 03:45:09.760864,2017-12-11 03:46:09.760864
2017-12-11 03:46:09.760864,2017-12-11 03:47:09.760864
2017-12-11 03:47:09.760864,2017-12-11 03:48:09.760864
2017-12-11 03:48:09.760864,2017-12-11 03:49:09.760864
2017-12-11 03:49:09.760864,2017-12-11 03:50:09.760864
2017-12-11 03:50:09.760864,2017-12-11 03:51:09.760864
2017-12-11 03:51:09.760864,2017-12-11 03:52:09.760864
2017-12-11 03:52:09.760864,2017-12-11 03:53:09.760864
2017-12-11 03:53:09.760864,2017-12-11 03:54:09.760864
2017-12-11 03:54:09.760864,2017-12-11 03:55:09.760864
2017-12-11 03:55:09.760864,2017-12-11 03:56:09.760864
2017-12-11 03:56:09.760864,2017-12-11 03:57:09.760864
2017-12-11 03:57:09.760864,2017-12-11 03:58:09.760864
2017-12-11 03:58:09.760864,2017-12-11 03:59:09.760864
2017-12-11 03:59:09.760864,2017-12-11 04:00:09.760864
2017-12-11 04:00:09.760864,2017-12-11 04:01:09.760864
2017-12-11 04:01:09.760864,2017-12-11 04:02:09.760864
2017-12-11 04:02:09.760864,2017-12-11 04:03:09.760864
2017-12-11 04:03:09.760864,2017-12-11 04:04:09.760864
2017-12-11 04:04:09.760864,2017-12-11 04:05:09.760864
2017-12-11 04:05:09.760864,2017-12-11 04:06:09.760864
2017-12-11 04:06:09.760864,2017-12-11 04:07:09.760864
2017-12-11 04:07:09.760864,2017-12-11 04:08:09.760864
2017-12-11 04:08:09.760864,2017-12-11 04:09:09.760864
2017-12-11 04:09:09.760864,2017-12-11 04:10:09.760864
2017-12-11 04:10:09.760864,2017-12-11 04:11:09.760864
2017-12-11 04:11:09.760864,2017-12-11 04:12:09.760864
2017-12-11 04:12:09.760864,2017-12-11 04:13:09.760864
2017-12-11 04:13:09.760864,2017-12-11 04:14:09.760864
2017-12-11 04:14:09.760864,2017-12-11 04:15:09.760864
