Start,End
2017-12-11 02:28:34.210031,2017-12-11 02:29:34.210031
2017-12-11 02:29:34.210031,2017-12-11 02:30:34.210031
2017-12-11 02:30:34.210031,2017-12-11 02:31:34.210031
2017-12-11 02:31:34.210031,2017-12-11 02:32:34.210031
2017-12-11 02:32:34.210031,2017-12-11 02:33:34.210031
2017-12-11 02:33:34.210031,2017-12-11 02:34:34.210031
2017-12-11 02:34:34.210031,2017-12-11 02:35:34.210031
2017-12-11 02:35:34.210031,2017-12-11 02:36:34.210031
2017-12-11 02:36:34.210031,2017-12-11 02:37:34.210031
2017-12-11 02:37:34.210031,2017-12-11 02:38:34.210031
2017-12-11 02:38:34.210031,2017-12-11 02:39:34.210031
2017-12-11 02:39:34.210031,2017-12-11 02:40:34.210031
2017-12-11 02:40:34.210031,2017-12-11 02:41:34.210031
2017-12-11 02:41:34.210031,2017-12-11 02:42:34.210031
2017-12-11 02:42:34.210031,2017-12-11 02:43:34.210031
2017-12-11 02:43:34.210031,2017-12-11 02:44:34.210031
2017-12-11 02:44:34.210031,2017-12-11 02:45:34.210031
2017-12-11 02:45:34.210031,2017-12-11 02:46:34.210031
2017-12-11 02:48:57.828509,2017-12-11 02:49:57.828509
2017-12-11 02:49:57.828509,2017-12-11 02:50:57.828509
2017-12-11 02:50:57.828509,2017-12-11 02:51:57.828509
2017-12-11 02:51:57.828509,2017-12-11 02:52:57.828509
2017-12-11 02:52:57.828509,2017-12-11 02:53:57.828509
2017-12-11 02:53:57.828509,2017-12-11 02:54:57.828509
2017-12-11 02:54:57.828509,2017-12-11 02:55:57.828509
2017-12-11 02:55:57.828509,2017-12-11 02:56:57.828509
2017-12-11 02:56:57.828509,2017-12-11 02:57:57.828509
2017-12-11 02:57:57.828509,2017-12-11 02:58:57.828509
2017-12-11 02:58:57.828509,2017-12-11 02:59:57.828509
2017-12-11 02:59:57.828509,2017-12-11 03:00:57.828509
2017-12-11 03:00:57.828509,2017-12-11 03:01:57.828509
2017-12-11 03:01:57.828509,2017-12-11 03:02:57.828509
2017-12-11 03:02:57.828509,2017-12-11 03:03:57.828509
2017-12-11 03:03:57.828509,2017-12-11 03:04:57.828509
2017-12-11 03:04:57.828509,2017-12-11 03:05:57.828509
2017-12-11 03:05:57.828509,2017-12-11 03:06:57.828509
2017-12-11 03:06:57.828509,2017-12-11 03:07:57.828509
2017-12-11 03:07:57.828509,2017-12-11 03:08:57.828509
2017-12-11 03:08:57.828509,2017-12-11 03:09:57.828509
2017-12-11 03:09:57.828509,2017-12-11 03:10:57.828509
2017-12-11 03:10:57.828509,2017-12-11 03:11:57.828509
2017-12-11 03:11:57.828509,2017-12-11 03:12:57.828509
2017-12-11 03:12:57.828509,2017-12-11 03:13:57.828509
2017-12-11 03:13:57.828509,2017-12-11 03:14:57.828509
2017-12-11 03:14:57.828509,2017-12-11 03:15:57.828509
2017-12-11 03:15:57.828509,2017-12-11 03:16:57.828509
2017-12-11 03:16:57.828509,2017-12-11 03:17:57.828509
2017-12-11 03:17:57.828509,2017-12-11 03:18:57.828509
2017-12-11 03:18:57.828509,2017-12-11 03:19:57.828509
2017-12-11 03:19:57.828509,2017-12-11 03:20:57.828509
2017-12-11 03:20:57.828509,2017-12-11 03:21:57.828509
2017-12-11 03:21:57.828509,2017-12-11 03:22:57.828509
2017-12-11 03:22:57.828509,2017-12-11 03:23:57.828509
2017-12-11 03:23:57.828509,2017-12-11 03:24:57.828509
2017-12-11 03:24:57.828509,2017-12-11 03:25:57.828509
2017-12-11 03:25:57.828509,2017-12-11 03:26:57.828509
2017-12-11 03:26:57.828509,2017-12-11 03:27:57.828509
2017-12-11 03:27:57.828509,2017-12-11 03:28:57.828509
2017-12-11 03:28:57.828509,2017-12-11 03:29:57.828509
2017-12-11 03:29:57.828509,2017-12-11 03:30:57.828509
2017-12-11 03:30:57.828509,2017-12-11 03:31:57.828509
2017-12-11 03:31:57.828509,2017-12-11 03:32:57.828509
2017-12-11 03:32:57.828509,2017-12-11 03:33:57.828509
2017-12-11 03:33:57.828509,2017-12-11 03:34:57.828509
2017-12-11 03:34:57.828509,2017-12-11 03:35:57.828509
2017-12-11 03:35:57.828509,2017-12-11 03:36:57.828509
2017-12-11 03:36:57.828509,2017-12-11 03:37:57.828509
2017-12-11 03:37:57.828509,2017-12-11 03:38:57.828509
2017-12-11 03:41:18.740220,2017-12-11 03:42:18.740220
2017-12-11 03:42:18.740220,2017-12-11 03:43:18.740220
